https://digitallibrary.un.org/record/1493376, AFGHANISTAN, Y ALBANIA,  ALGERIA, Y ANDORRA,  ANGOLA, Y ANTIGUA AND BARBUDA, A ARGENTINA, N ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, A BAHAMAS, A BAHRAIN, A BANGLADESH, A BARBADOS,  BELARUS, Y BELGIUM,  BELIZE,  BENIN, A BHUTAN, A BOLIVIA (PLURINATIONAL STATE OF), Y BOSNIA AND HERZEGOVINA,  BOTSWANA, A BRAZIL, A BRUNEI DARUSSALAM, Y BULGARIA, A BURKINA FASO, A BURUNDI,  CAMBODIA, A CAMEROON, Y CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, A CHILE, A CHINA, A COLOMBIA,  COMOROS, Y CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, Y CROATIA, N CUBA, A CYPRUS, Y CZECH REPUBLIC, N DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, A DJIBOUTI,  DOMINICA, A DOMINICAN REPUBLIC, A ECUADOR, A EGYPT,  EL SALVADOR,  EQUATORIAL GUINEA,  ERITREA, Y ESTONIA,  ETHIOPIA,  FIJI, Y FINLAND, Y FRANCE, A GABON, A GAMBIA, Y GEORGIA, Y GERMANY,  GHANA, Y GREECE, A GRENADA, A GUATEMALA, A GUINEA, Y GUINEA-BISSAU, A GUYANA, A HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, A INDIA, A INDONESIA,  IRAN (ISLAMIC REPUBLIC OF),  IRAQ, Y IRELAND, A ISRAEL, Y ITALY, A JAMAICA, Y JAPAN, A JORDAN, A KAZAKHSTAN, A KENYA,  KIRIBATI, A KUWAIT, A KYRGYZSTAN, N LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, A LEBANON,  LESOTHO,  LIBERIA,  LIBYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG, A MADAGASCAR, Y MALAWI, A MALAYSIA, Y MALDIVES, A MALI, Y MALTA, Y MARSHALL ISLANDS,  MAURITANIA, A MAURITIUS, A MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, A MONGOLIA, Y MONTENEGRO, A MOROCCO,  MOZAMBIQUE, N MYANMAR,  NAMIBIA,  NAURU, A NEPAL, Y NETHERLANDS, Y NEW ZEALAND, N NICARAGUA,  NIGER,  NIGERIA, Y NORWAY, A OMAN, A PAKISTAN,  PALAU, A PANAMA, A PAPUA NEW GUINEA, A PARAGUAY, A PERU, A PHILIPPINES, Y POLAND, Y PORTUGAL, A QATAR, A REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, N RUSSIAN FEDERATION,  RWANDA,  SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, A SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, A SAUDI ARABIA, A SENEGAL, N SERBIA,  SEYCHELLES,  SIERRA LEONE, A SINGAPORE, Y SLOVAKIA, Y SLOVENIA, A SOLOMON ISLANDS, A SOMALIA,  SOUTH AFRICA, Y SPAIN, N SRI LANKA, N SUDAN,  SURINAME,  SWAZILAND, Y SWEDEN, A SWITZERLAND, N SYRIAN ARAB REPUBLIC, A TAJIKISTAN, A THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, A TIMOR-LESTE, A TOGO, A TONGA, A TRINIDAD AND TOBAGO, A TUNISIA, A TURKEY,  TURKMENISTAN, Y TUVALU,  UGANDA,  UKRAINE,  UNITED ARAB EMIRATES, Y UNITED KINGDOM, A UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, A URUGUAY,  UZBEKISTAN, Y VANUATU, N VENEZUELA (BOLIVARIAN REPUBLIC OF), N VIET NAM, A YEMEN, A ZAMBIA,  ZIMBABWE
https://digitallibrary.un.org/record/724807,Y AFGHANISTAN, Y ALBANIA, N ALGERIA, Y ANDORRA,  ANGOLA, A ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA,  AZERBAIJAN, Y BAHAMAS, A BAHRAIN, N BANGLADESH, Y BARBADOS, N BELARUS, Y BELGIUM,  BELIZE, A BENIN,  BHUTAN, A BOLIVIA (PLURINATIONAL STATE OF), Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, A BRAZIL, N BRUNEI DARUSSALAM, Y BULGARIA, A BURKINA FASO, Y BURUNDI, N CAMBODIA, A CAMEROON, Y CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, N CHINA, A COLOMBIA, A COMOROS,  CONGO, Y COSTA RICA, A CÔTE D'IVOIRE, Y CROATIA, N CUBA, Y CYPRUS, Y CZECH REPUBLIC,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, A DJIBOUTI,  DOMINICA, A DOMINICAN REPUBLIC, N ECUADOR, N EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA,  ERITREA, Y ESTONIA, A ETHIOPIA, A FIJI, Y FINLAND, Y FRANCE,  GABON,  GAMBIA,  GEORGIA, Y GERMANY, Y GHANA, Y GREECE,  GRENADA, A GUATEMALA,  GUINEA,  GUINEA-BISSAU,  GUYANA,  HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, A INDONESIA, N IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND,  ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, A JORDAN, Y KAZAKHSTAN, A KENYA,  KIRIBATI, A KUWAIT, A KYRGYZSTAN, N LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON,  LESOTHO, Y LIBERIA,  LIBYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG, A MADAGASCAR,  MALAWI, A MALAYSIA, Y MALDIVES, A MALI, Y MALTA, Y MARSHALL ISLANDS,  MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA, Y MONTENEGRO, A MOROCCO,  MOZAMBIQUE, N MYANMAR, Y NAMIBIA,  NAURU, A NEPAL, Y NETHERLANDS, Y NEW ZEALAND, N NICARAGUA,  NIGER,  NIGERIA, Y NORWAY, N OMAN, A PAKISTAN, Y PALAU, Y PANAMA,  PAPUA NEW GUINEA,  PARAGUAY, Y PERU, A PHILIPPINES, Y POLAND, Y PORTUGAL, A QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, N RUSSIAN FEDERATION,  RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA, A SAINT VINCENT AND THE GRENADINES, Y SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, A SAUDI ARABIA,  SENEGAL, Y SERBIA,  SEYCHELLES,  SIERRA LEONE, A SINGAPORE, Y SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, A SOUTH AFRICA,  SOUTH SUDAN, Y SPAIN, N SRI LANKA, N SUDAN,  SURINAME,  SWAZILAND, Y SWEDEN, Y SWITZERLAND, N SYRIAN ARAB REPUBLIC,  TAJIKISTAN, A THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, A TIMOR-LESTE,  TOGO, Y TONGA, A TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY, A TURKMENISTAN,  TUVALU,  UGANDA, Y UKRAINE, A UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, Y URUGUAY, N UZBEKISTAN,  VANUATU, N VENEZUELA (BOLIVARIAN REPUBLIC OF), N VIET NAM, A YEMEN, A ZAMBIA,  ZIMBABWE
https://digitallibrary.un.org/record/724755,Y AFGHANISTAN, Y ALBANIA, Y ALGERIA, Y ANDORRA,  ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA,  AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM,  BELIZE, Y BENIN,  BHUTAN, A BOLIVIA (PLURINATIONAL STATE OF), Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO,  BURUNDI,  CAMBODIA, Y CAMEROON, Y CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA, Y COMOROS, Y CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE, Y CROATIA, Y CUBA, Y CYPRUS, Y CZECH REPUBLIC,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, Y DJIBOUTI,  DOMINICA, A DOMINICAN REPUBLIC, A ECUADOR, Y EGYPT, A EL SALVADOR,  EQUATORIAL GUINEA,  ERITREA, Y ESTONIA, A ETHIOPIA, Y FIJI, Y FINLAND, Y FRANCE,  GABON,  GAMBIA,  GEORGIA, Y GERMANY, Y GHANA, Y GREECE, Y GRENADA, Y GUATEMALA,  GUINEA,  GUINEA-BISSAU,  GUYANA,  HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA,  IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND,  ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON,  LESOTHO, Y LIBERIA, Y LIBYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG, Y MADAGASCAR,  MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, Y MARSHALL ISLANDS,  MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA, Y MONTENEGRO, Y MOROCCO,  MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA,  NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN, Y PALAU, Y PANAMA,  PAPUA NEW GUINEA,  PARAGUAY, Y PERU, Y PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, Y RUSSIAN FEDERATION,  RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, Y SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA,  SENEGAL, Y SERBIA,  SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, Y SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA,  SOUTH SUDAN, Y SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME,  SWAZILAND, Y SWEDEN, Y SWITZERLAND,  SYRIAN ARAB REPUBLIC,  TAJIKISTAN, Y THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,  TIMOR-LESTE,  TOGO, Y TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, N TURKEY,  TURKMENISTAN,  TUVALU,  UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, Y URUGUAY,  UZBEKISTAN,  VANUATU, A VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN, Y ZAMBIA,  ZIMBABWE
