https://digitallibrary.un.org/record/284955,Y AFGHANISTAN, Y ALBANIA, Y ALGERIA, Y ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, A BAHAMAS, Y BAHRAIN, Y BANGLADESH, A BARBADOS, A BELARUS, Y BELGIUM, Y BELIZE, Y BENIN,  BHUTAN, Y BOLIVIA,  BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, A BULGARIA, Y BURKINA FASO,  BURUNDI,  CAMBODIA, Y CAMEROON, Y CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE, Y CHINA, Y COLOMBIA,  COMOROS,  CONGO,  COSTA RICA, Y CÔTE D'IVOIRE, A CROATIA, Y CUBA, Y CYPRUS, Y CZECH REPUBLIC, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, Y DJIBOUTI,  DOMINICA,  DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT,  EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, Y ESTONIA, Y ETHIOPIA,  FIJI, Y FINLAND, Y FRANCE, Y GABON,  GAMBIA, A GEORGIA, Y GERMANY, Y GHANA, Y GREECE, A GRENADA,  GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF),  IRAQ, Y IRELAND, N ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON,  LESOTHO, Y LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, A MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, A MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA, Y PAPUA NEW GUINEA, A PARAGUAY, Y PERU, Y PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, Y RUSSIAN FEDERATION,  RWANDA, A SAINT KITTS AND NEVIS, Y SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, Y SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, Y SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME, A SWAZILAND, Y SWEDEN, Y SYRIAN ARAB REPUBLIC,  TAJIKISTAN, Y THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TOGO, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN,  UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, A URUGUAY, A UZBEKISTAN, Y VANUATU, Y VENEZUELA, Y VIET NAM, Y YEMEN,  YUGOSLAVIA,  ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/284954,Y AFGHANISTAN,  ALBANIA, Y ALGERIA, A ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, A ARMENIA, A AUSTRALIA, A AUSTRIA, A AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, A BELARUS, A BELGIUM, Y BELIZE, Y BENIN,  BHUTAN, Y BOLIVIA,  BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, A BULGARIA, Y BURKINA FASO, Y BURUNDI,  CAMBODIA, Y CAMEROON, A CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE, Y CHINA, Y COLOMBIA,  COMOROS, Y CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE, A CROATIA, Y CUBA, A CYPRUS, A CZECH REPUBLIC, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DEMOCRATIC REPUBLIC OF THE CONGO, A DENMARK, Y DJIBOUTI, Y DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR, Y EQUATORIAL GUINEA, Y ERITREA,  ESTONIA, Y ETHIOPIA,  FIJI, A FINLAND, A FRANCE, Y GABON,  GAMBIA, A GEORGIA, A GERMANY, Y GHANA, A GREECE, Y GRENADA, Y GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, A HUNGARY, A ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF),  IRAQ, A IRELAND, A ISRAEL, A ITALY, Y JAMAICA, A JAPAN, Y JORDAN, A KAZAKHSTAN, Y KENYA,  KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, A LATVIA,  LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, A LIECHTENSTEIN, A LITHUANIA, A LUXEMBOURG, Y MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, Y MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, A MICRONESIA (FEDERATED STATES OF), A MONACO, Y MONGOLIA, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NEPAL, A NETHERLANDS, A NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, A NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, A POLAND, A PORTUGAL, Y QATAR, A REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA, A ROMANIA, A RUSSIAN FEDERATION,  RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, Y SAMOA, A SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, A SLOVAKIA, A SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, A SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME, Y SWAZILAND, A SWEDEN, Y SYRIAN ARAB REPUBLIC,  TAJIKISTAN, Y THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TOGO, Y TRINIDAD AND TOBAGO, Y TUNISIA, A TURKEY, A TURKMENISTAN,  UGANDA, A UKRAINE, Y UNITED ARAB EMIRATES, A UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN, Y VANUATU, Y VENEZUELA, Y VIET NAM, Y YEMEN,  YUGOSLAVIA, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/284953,Y AFGHANISTAN, A ALBANIA, Y ALGERIA, N ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, A ARGENTINA, A ARMENIA, N AUSTRALIA, N AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH,  BARBADOS, Y BELARUS, N BELGIUM, Y BELIZE, Y BENIN,  BHUTAN, Y BOLIVIA,  BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, N BULGARIA,  BURKINA FASO, A BURUNDI,  CAMBODIA, Y CAMEROON, N CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA,  COMOROS,  CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE,  CROATIA, Y CUBA, Y CYPRUS, N CZECH REPUBLIC, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, N DENMARK, Y DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA,  ERITREA, N ESTONIA, A ETHIOPIA,  FIJI, N FINLAND, N FRANCE,  GABON,  GAMBIA,  GEORGIA, N GERMANY, Y GHANA, N GREECE, Y GRENADA, A GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA,  HAITI, Y HONDURAS, N HUNGARY, N ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF),  IRAQ, N IRELAND, N ISRAEL, N ITALY, Y JAMAICA, N JAPAN,  JORDAN, Y KAZAKHSTAN, Y KENYA, Y KUWAIT, A KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, N LATVIA, Y LEBANON,  LESOTHO, Y LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, N LIECHTENSTEIN, N LITHUANIA, N LUXEMBOURG, Y MADAGASCAR,  MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, A MALTA, A MARSHALL ISLANDS,  MAURITANIA, Y MAURITIUS, Y MEXICO, A MICRONESIA (FEDERATED STATES OF), N MONACO,  MONGOLIA, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA, Y NEPAL, N NETHERLANDS, N NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, N NORWAY, Y OMAN, Y PAKISTAN,  PALAU,  PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, N POLAND, N PORTUGAL, Y QATAR, N REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, N ROMANIA, Y RUSSIAN FEDERATION,  RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, A SAMOA, N SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL,  SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, N SLOVAKIA, A SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, N SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME, Y SWAZILAND, N SWEDEN, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TOGO, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN, Y UGANDA, N UKRAINE, Y UNITED ARAB EMIRATES, N UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY,  UZBEKISTAN,  VANUATU, Y VENEZUELA, Y VIET NAM, Y YEMEN,  YUGOSLAVIA, Y ZAMBIA,  ZIMBABWE
