https://digitallibrary.un.org/record/1479518,Y AFGHANISTAN, A ALBANIA, Y ALGERIA, A ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, A ARMENIA, A AUSTRALIA, A AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, A BELGIUM,  BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA (PLURINATIONAL STATE OF), A BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, A BULGARIA, Y BURKINA FASO,  BURUNDI, Y CABO VERDE, Y CAMBODIA, Y CAMEROON, A CANADA,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA,  COMOROS, Y CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE, A CROATIA, Y CUBA, A CYPRUS, A CZECHIA,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, A DENMARK, Y DJIBOUTI,  DOMINICA, A DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR, Y EQUATORIAL GUINEA, Y ERITREA, A ESTONIA, Y ETHIOPIA,  FIJI, A FINLAND, A FRANCE, Y GABON,  GAMBIA, A GEORGIA, A GERMANY, Y GHANA, A GREECE,  GRENADA, Y GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA,  HAITI, Y HONDURAS, A HUNGARY, A ICELAND, Y INDIA, Y INDONESIA, A IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, A IRELAND, Y ISRAEL, A ITALY, Y JAMAICA, A JAPAN, Y JORDAN, Y KAZAKHSTAN,  KENYA,  KIRIBATI, Y KUWAIT,  KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, A LATVIA,  LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYA, A LIECHTENSTEIN, A LITHUANIA, A LUXEMBOURG,  MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, A MALTA, Y MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, A MEXICO, Y MICRONESIA (FEDERATED STATES OF), A MONACO, A MONGOLIA, A MONTENEGRO, Y MOROCCO,  MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, A NETHERLANDS, A NEW ZEALAND, Y NICARAGUA,  NIGER, Y NIGERIA, A NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA,  PAPUA NEW GUINEA, Y PARAGUAY, A PERU, Y PHILIPPINES, A POLAND, A PORTUGAL, Y QATAR, A REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA, A ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES,  SAMOA, A SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA,  SENEGAL, A SERBIA,  SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, A SLOVAKIA, A SLOVENIA,  SOLOMON ISLANDS,  SOMALIA, N SOUTH AFRICA,  SOUTH SUDAN, A SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME,  SWAZILAND, A SWEDEN, A SWITZERLAND, A SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO,  TONGA,  TRINIDAD AND TOBAGO, Y TUNISIA, A TURKEY,  TURKMENISTAN, A TUVALU, Y UGANDA, A UKRAINE, Y UNITED ARAB EMIRATES, A UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, A URUGUAY, Y UZBEKISTAN,  VANUATU,  VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN,  ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/1479517,Y AFGHANISTAN, A ALBANIA, Y ALGERIA, A ANDORRA, A ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, A AUSTRALIA, A AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, A BELGIUM,  BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA (PLURINATIONAL STATE OF), A BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, A BULGARIA, Y BURKINA FASO, Y BURUNDI, Y CABO VERDE, Y CAMBODIA, Y CAMEROON, A CANADA,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA,  COMOROS, Y CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE, A CROATIA, Y CUBA, A CYPRUS, A CZECHIA,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, A DENMARK, Y DJIBOUTI,  DOMINICA,  DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR, A EQUATORIAL GUINEA, Y ERITREA, A ESTONIA, Y ETHIOPIA,  FIJI, A FINLAND, N FRANCE, Y GABON,  GAMBIA, A GEORGIA, A GERMANY, Y GHANA, A GREECE,  GRENADA, Y GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA,  HAITI, Y HONDURAS, A HUNGARY, A ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, A IRELAND, N ISRAEL, A ITALY, Y JAMAICA, A JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, A LATVIA, Y LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYA, A LIECHTENSTEIN, A LITHUANIA, A LUXEMBOURG, Y MADAGASCAR,  MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, A MALTA,  MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO,  MICRONESIA (FEDERATED STATES OF), A MONACO, Y MONGOLIA, A MONTENEGRO, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA, Y NAURU, Y NEPAL, A NETHERLANDS, A NEW ZEALAND, Y NICARAGUA,  NIGER, Y NIGERIA, A NORWAY, Y OMAN, Y PAKISTAN, A PALAU, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, A POLAND, A PORTUGAL, Y QATAR, A REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA, A ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES,  SAMOA, A SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA,  SENEGAL, Y SERBIA,  SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, A SLOVAKIA, A SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA,  SOUTH SUDAN, A SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME,  SWAZILAND, A SWEDEN, Y SWITZERLAND, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,  TIMOR-LESTE, Y TOGO,  TONGA,  TRINIDAD AND TOBAGO, Y TUNISIA, A TURKEY,  TURKMENISTAN, Y TUVALU, Y UGANDA, N UKRAINE, Y UNITED ARAB EMIRATES, N UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN,  VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN,  ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/1470211,Y AFGHANISTAN, Y ALBANIA, Y ALGERIA, Y ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA,  ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, N BELARUS, Y BELGIUM,  BELIZE, Y BENIN, A BHUTAN,  BOLIVIA (PLURINATIONAL STATE OF), Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO,  BURUNDI, Y CABO VERDE, N CAMBODIA, A CAMEROON, Y CANADA,  CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE, N CHINA, Y COLOMBIA,  COMOROS,  CONGO, Y COSTA RICA, A CÔTE D'IVOIRE, Y CROATIA,  CUBA, Y CYPRUS, Y CZECHIA,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, Y DJIBOUTI,  DOMINICA, A DOMINICAN REPUBLIC, A ECUADOR, Y EGYPT, Y EL SALVADOR, A EQUATORIAL GUINEA,  ERITREA, Y ESTONIA, A ETHIOPIA,  FIJI, Y FINLAND, Y FRANCE, Y GABON,  GAMBIA, Y GEORGIA, Y GERMANY, Y GHANA, Y GREECE,  GRENADA, Y GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA,  HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, A INDIA, Y INDONESIA,  IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND, Y ISRAEL, Y ITALY, Y JAMAICA, A JAPAN, Y JORDAN, Y KAZAKHSTAN, A KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, N LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON, A LESOTHO, Y LIBERIA, Y LIBYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG, Y MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, Y MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, A MONGOLIA, Y MONTENEGRO, Y MOROCCO, A MOZAMBIQUE, N MYANMAR, A NAMIBIA, A NAURU, A NEPAL, Y NETHERLANDS, Y NEW ZEALAND,  NICARAGUA,  NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN, Y PALAU, Y PANAMA, A PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, N PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, N RUSSIAN FEDERATION, Y RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES,  SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA,  SENEGAL,  SERBIA,  SEYCHELLES, Y SIERRA LEONE, A SINGAPORE, Y SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, A SOUTH AFRICA,  SOUTH SUDAN, Y SPAIN, A SRI LANKA, Y SUDAN,  SURINAME,  SWAZILAND, Y SWEDEN, Y SWITZERLAND, N SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, A THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, A TIMOR-LESTE, A TOGO,  TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN, Y TUVALU,  UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, Y URUGUAY,  UZBEKISTAN,  VANUATU, A VENEZUELA (BOLIVARIAN REPUBLIC OF), N VIET NAM, Y YEMEN,  ZAMBIA, N ZIMBABWE
