https://digitallibrary.un.org/record/1638050,Y AFGHANISTAN, Y ALBANIA, Y ALGERIA, Y ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, A AUSTRALIA, Y AUSTRIA,  AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM,  BELIZE, Y BENIN,  BHUTAN, Y BOLIVIA, Y BOSNIA AND HERZEGOVINA,  BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO,  BURUNDI, Y CAMBODIA,  CAMEROON, Y CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA, Y COMOROS, Y CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, Y CROATIA, Y CUBA, Y CYPRUS, Y CZECH REPUBLIC, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, Y DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA,  ERITREA, Y ESTONIA,  ETHIOPIA, Y FIJI, Y FINLAND, Y FRANCE, Y GABON,  GAMBIA,  GEORGIA, Y GERMANY, Y GHANA, Y GREECE,  GRENADA, Y GUATEMALA,  GUINEA,  GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND, N ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON, Y LESOTHO,  LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI,  MALTA,  MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO,  MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA,  MONTENEGRO, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA,  PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES,  SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL, Y SERBIA,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, Y SLOVAKIA, Y SLOVENIA,  SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME,  SWAZILAND, Y SWEDEN, Y SWITZERLAND, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,  TIMOR-LESTE, Y TOGO,  TONGA,  TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN,  TUVALU, Y UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY,  UZBEKISTAN,  VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/644767,Y AFGHANISTAN, Y ALBANIA, N ALGERIA,  ANDORRA, A ANGOLA, A ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA, N AZERBAIJAN,  BAHAMAS, A BAHRAIN, N BANGLADESH, A BARBADOS, N BELARUS, Y BELGIUM,  BELIZE,  BENIN,  BHUTAN, A BOLIVIA, Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, N BRUNEI DARUSSALAM, Y BULGARIA, A BURKINA FASO, Y BURUNDI,  CAMBODIA, A CAMEROON, Y CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, N CHINA, A COLOMBIA,  COMOROS, A CONGO, Y COSTA RICA, A CÔTE D'IVOIRE, Y CROATIA, N CUBA, Y CYPRUS, Y CZECH REPUBLIC, N DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK,  DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, A ECUADOR, N EGYPT,  EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, Y ESTONIA, A ETHIOPIA,  FIJI, Y FINLAND, Y FRANCE,  GABON, A GAMBIA, Y GEORGIA, Y GERMANY, A GHANA, Y GREECE, A GRENADA, Y GUATEMALA,  GUINEA, A GUINEA-BISSAU,  GUYANA,  HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, N INDIA, A INDONESIA, N IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND, Y ISRAEL, Y ITALY, A JAMAICA, Y JAPAN, A JORDAN, Y KAZAKHSTAN, A KENYA,  KIRIBATI, A KUWAIT, A KYRGYZSTAN, N LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON, A LESOTHO,  LIBERIA, N LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, A MALAWI, N MALAYSIA, Y MALDIVES, A MALI, Y MALTA, Y MARSHALL ISLANDS, A MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA, Y MONTENEGRO, Y MOROCCO, A MOZAMBIQUE, N MYANMAR, A NAMIBIA, Y NAURU, A NEPAL, Y NETHERLANDS, Y NEW ZEALAND, N NICARAGUA, A NIGER,  NIGERIA, Y NORWAY, N OMAN, A PAKISTAN, Y PALAU, Y PANAMA,  PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, A PHILIPPINES, Y POLAND, Y PORTUGAL, A QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, N RUSSIAN FEDERATION,  RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, Y SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, A SAUDI ARABIA,  SENEGAL,  SERBIA,  SEYCHELLES,  SIERRA LEONE, A SINGAPORE, Y SLOVAKIA, Y SLOVENIA, A SOLOMON ISLANDS,  SOMALIA, A SOUTH AFRICA, Y SPAIN, N SRI LANKA, N SUDAN,  SURINAME, A SWAZILAND, Y SWEDEN, Y SWITZERLAND, N SYRIAN ARAB REPUBLIC, A TAJIKISTAN, A THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO,  TONGA, A TRINIDAD AND TOBAGO,  TUNISIA, Y TURKEY,  TURKMENISTAN,  TUVALU,  UGANDA, Y UKRAINE, A UNITED ARAB EMIRATES, Y UNITED KINGDOM, A UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, Y URUGUAY, N UZBEKISTAN,  VANUATU, N VENEZUELA (BOLIVARIAN REPUBLIC OF), N VIET NAM, A YEMEN, A ZAMBIA, N ZIMBABWE
https://digitallibrary.un.org/record/644765,Y AFGHANISTAN, A ALBANIA, Y ALGERIA,  ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, A ARMENIA, N AUSTRALIA, A AUSTRIA, Y AZERBAIJAN,  BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, A BELGIUM,  BELIZE, Y BENIN,  BHUTAN, Y BOLIVIA, A BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, A BULGARIA, Y BURKINA FASO, Y BURUNDI, Y CAMBODIA, Y CAMEROON, N CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA,  COMOROS, Y CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE, A CROATIA, Y CUBA, A CYPRUS, N CZECH REPUBLIC, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, N DENMARK, Y DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT,  EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, A ESTONIA, Y ETHIOPIA,  FIJI, A FINLAND, A FRANCE,  GABON, Y GAMBIA, A GEORGIA, A GERMANY, Y GHANA, A GREECE, Y GRENADA, Y GUATEMALA,  GUINEA, Y GUINEA-BISSAU,  GUYANA,  HAITI, Y HONDURAS, A HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, A IRELAND, N ISRAEL, A ITALY, Y JAMAICA, A JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, A LATVIA, Y LEBANON, Y LESOTHO,  LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, A LITHUANIA, A LUXEMBOURG, Y MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, A MALTA, N MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO,  MICRONESIA (FEDERATED STATES OF), A MONACO, Y MONGOLIA, A MONTENEGRO, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, N NETHERLANDS, N NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN, N PALAU, Y PANAMA,  PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, N POLAND, A PORTUGAL, Y QATAR, A REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA, N ROMANIA, Y RUSSIAN FEDERATION,  RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, Y SAMOA, A SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL, A SERBIA,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, A SLOVAKIA, A SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, A SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME, Y SWAZILAND, A SWEDEN, Y SWITZERLAND, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO,  TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN,  TUVALU, Y UGANDA, A UKRAINE, Y UNITED ARAB EMIRATES, N UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN,  VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
