https://digitallibrary.un.org/record/1471017,Y AFGHANISTAN, A ALBANIA, Y ALGERIA, A ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, A ARMENIA, N AUSTRALIA, A AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS,  BELARUS, A BELGIUM, Y BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA (PLURINATIONAL STATE OF), A BOSNIA AND HERZEGOVINA,  BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, A BULGARIA, Y BURKINA FASO, Y BURUNDI, Y CABO VERDE, Y CAMBODIA, A CAMEROON, N CANADA,  CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE, Y CHINA, A COLOMBIA, Y COMOROS,  CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, A CROATIA, Y CUBA, Y CYPRUS, A CZECHIA, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, A DENMARK, Y DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, A ESTONIA, Y ETHIOPIA, Y FIJI, A FINLAND, A FRANCE,  GABON, Y GAMBIA, A GEORGIA, A GERMANY,  GHANA, A GREECE,  GRENADA, N GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA,  HAITI, A HONDURAS, A HUNGARY, A ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, A IRELAND, N ISRAEL, A ITALY, Y JAMAICA, A JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, A LATVIA, Y LEBANON, Y LESOTHO,  LIBERIA, Y LIBYA, A LIECHTENSTEIN, A LITHUANIA, A LUXEMBOURG,  MADAGASCAR,  MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, N MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, A MEXICO, N MICRONESIA (FEDERATED STATES OF), A MONACO,  MONGOLIA, A MONTENEGRO, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR,  NAMIBIA, N NAURU, Y NEPAL, A NETHERLANDS, A NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, A NORWAY, Y OMAN, Y PAKISTAN, N PALAU, A PANAMA, A PAPUA NEW GUINEA, A PARAGUAY, A PERU, Y PHILIPPINES, A POLAND, A PORTUGAL, Y QATAR, A REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA, A ROMANIA, A RUSSIAN FEDERATION,  RWANDA,  SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, Y SAMOA, A SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL, A SERBIA,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, A SLOVAKIA, A SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA,  SOUTH SUDAN, A SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME,  SWAZILAND, A SWEDEN, A SWITZERLAND, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,  TIMOR-LESTE, A TOGO, A TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY, Y TURKMENISTAN,  TUVALU,  UGANDA, A UKRAINE, Y UNITED ARAB EMIRATES, A UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN, A VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/855235,Y AFGHANISTAN, N ALBANIA, Y ALGERIA, N ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, A AUSTRALIA, N AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, N BELGIUM, Y BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA (PLURINATIONAL STATE OF), N BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, N BULGARIA, Y BURKINA FASO, Y BURUNDI, Y CABO VERDE, Y CAMBODIA, Y CAMEROON, A CANADA, Y CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE, Y CHINA, Y COLOMBIA, Y COMOROS, Y CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE, N CROATIA, Y CUBA, N CYPRUS, N CZECHIA, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DEMOCRATIC REPUBLIC OF THE CONGO, N DENMARK, Y DJIBOUTI, Y DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, N ESTONIA, Y ETHIOPIA, Y FIJI, N FINLAND, N FRANCE, Y GABON,  GAMBIA, N GEORGIA, N GERMANY, Y GHANA, N GREECE, Y GRENADA, Y GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, N HUNGARY, A ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, N IRELAND, N ISRAEL, N ITALY, Y JAMAICA, N JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA, Y KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, N LATVIA, Y LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYA, A LIECHTENSTEIN, N LITHUANIA, N LUXEMBOURG, Y MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, N MALTA, Y MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), N MONACO, Y MONGOLIA, N MONTENEGRO, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA, Y NAURU, Y NEPAL, N NETHERLANDS, A NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, N NORWAY, Y OMAN, Y PAKISTAN, Y PALAU, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, N POLAND, N PORTUGAL, Y QATAR, N REPUBLIC OF KOREA, N REPUBLIC OF MOLDOVA, N ROMANIA, Y RUSSIAN FEDERATION,  RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, Y SAMOA, N SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL, N SERBIA,  SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, N SLOVAKIA, N SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SOUTH SUDAN, N SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME, Y SWAZILAND, N SWEDEN, A SWITZERLAND, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, N THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO,  TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, A TURKEY,  TURKMENISTAN, Y TUVALU, Y UGANDA, N UKRAINE, Y UNITED ARAB EMIRATES, N UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN, Y VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/855234,Y AFGHANISTAN, A ALBANIA, Y ALGERIA, A ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, A AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM, Y BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA (PLURINATIONAL STATE OF), Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO, Y BURUNDI, Y CABO VERDE, Y CAMBODIA, Y CAMEROON, A CANADA, Y CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE,  CHINA, Y COLOMBIA, Y COMOROS, Y CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, A CROATIA, Y CUBA, Y CYPRUS, A CZECHIA, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DEMOCRATIC REPUBLIC OF THE CONGO, A DENMARK, Y DJIBOUTI, Y DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, A ESTONIA, Y ETHIOPIA, Y FIJI, Y FINLAND, N FRANCE,  GABON,  GAMBIA, A GEORGIA, A GERMANY, Y GHANA, Y GREECE, Y GRENADA, Y GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, A HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND, N ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN, A KAZAKHSTAN, Y KENYA, Y KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, A LATVIA, Y LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYA, Y LIECHTENSTEIN, A LITHUANIA, Y LUXEMBOURG, Y MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, Y MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, A MICRONESIA (FEDERATED STATES OF), A MONACO, Y MONGOLIA, A MONTENEGRO, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN, Y PALAU, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, A POLAND, A PORTUGAL, Y QATAR, A REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA, A ROMANIA, A RUSSIAN FEDERATION,  RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES,  SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL, Y SERBIA, Y SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, A SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, A SOUTH SUDAN, A SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME, Y SWAZILAND, Y SWEDEN, Y SWITZERLAND, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO, Y TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, A TURKEY, Y TURKMENISTAN, Y TUVALU, Y UGANDA, A UKRAINE, Y UNITED ARAB EMIRATES, N UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN, Y VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF), Y VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
