https://digitallibrary.un.org/record/283166,Y AFGHANISTAN,  ALBANIA, Y ALGERIA, Y ANGOLA, Y ANTIGUA AND BARBUDA, N ARGENTINA,  ARMENIA,  AUSTRALIA,  AUSTRIA, A AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS,  BELARUS,  BELGIUM, Y BELIZE, Y BENIN, Y BHUTAN,  BOLIVIA, A BOSNIA AND HERZEGOVINA, Y BOTSWANA,  BRAZIL, Y BRUNEI DARUSSALAM,  BULGARIA, Y BURKINA FASO, Y BURUNDI,  CAMBODIA, Y CAMEROON,  CANADA, Y CAPE VERDE, Y CENTRAL AFRICAN REPUBLIC, Y CHAD,  CHILE,  CHINA,  COLOMBIA, Y COMOROS, Y CONGO, Y COSTA RICA,  CÔTE D'IVOIRE,  CROATIA,  CUBA, Y CYPRUS,  CZECHOSLOVAKIA,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DENMARK, Y DJIBOUTI, Y DOMINICA,  DOMINICAN REPUBLIC,  ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA,  ESTONIA, Y ETHIOPIA,  FIJI,  FINLAND,  FRANCE, Y GABON, Y GAMBIA,  GEORGIA,  GERMANY, Y GHANA,  GREECE, Y GRENADA,  GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA, Y HAITI,  HONDURAS,  HUNGARY,  ICELAND,  INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, A IRELAND,  ISRAEL,  ITALY, Y JAMAICA,  JAPAN, Y JORDAN,  KAZAKHSTAN, Y KENYA, Y KUWAIT,  KYRGYZSTAN,  LAO PEOPLE'S DEMOCRATIC REPUBLIC,  LATVIA, Y LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, A LIECHTENSTEIN,  LITHUANIA,  LUXEMBOURG,  MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, A MALTA,  MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO,  MICRONESIA (FEDERATED STATES OF), Y MONGOLIA, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA, Y NEPAL,  NETHERLANDS,  NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA,  NORWAY, Y OMAN, Y PAKISTAN, Y PANAMA,  PAPUA NEW GUINEA,  PARAGUAY,  PERU, Y PHILIPPINES,  POLAND, A PORTUGAL, Y QATAR,  REPUBLIC OF KOREA,  REPUBLIC OF MOLDOVA,  ROMANIA,  RUSSIAN FEDERATION, Y RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES,  SAMOA, A SAN MARINO, Y SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL, Y SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE,  SLOVENIA,  SOLOMON ISLANDS,  SOMALIA,  SOUTH AFRICA,  SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME, Y SWAZILAND,  SWEDEN, Y SYRIAN ARAB REPUBLIC,  TAJIKISTAN, Y THAILAND, Y TOGO, Y TRINIDAD AND TOBAGO, Y TUNISIA, A TURKEY,  TURKMENISTAN, Y UGANDA,  UKRAINE, Y UNITED ARAB EMIRATES,  UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA,  UNITED STATES,  URUGUAY,  UZBEKISTAN, Y VANUATU, A VENEZUELA, Y VIET NAM, Y YEMEN,  YUGOSLAVIA, Y ZAIRE, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/282911,Y AFGHANISTAN,  ALBANIA, Y ALGERIA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM,  BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA, Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO, Y BURUNDI,  CAMBODIA, Y CAMEROON, Y CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE, Y CHINA, Y COLOMBIA,  COMOROS, Y CONGO, Y COSTA RICA, Y CÔTE D'IVOIRE, Y CROATIA, Y CUBA, Y CYPRUS,  CZECHOSLOVAKIA, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DENMARK, Y DJIBOUTI, Y DOMINICA,  DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT,  EL SALVADOR,  EQUATORIAL GUINEA,  ESTONIA, Y ETHIOPIA, Y FIJI, Y FINLAND, Y FRANCE, Y GABON, Y GAMBIA,  GEORGIA, Y GERMANY, Y GHANA, Y GREECE, Y GRENADA, Y GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND, Y ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN,  KAZAKHSTAN, Y KENYA, Y KUWAIT,  KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG, Y MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, Y MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONGOLIA, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA, Y NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, Y NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, Y SAMOA,  SAN MARINO, Y SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL,  SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, Y SLOVENIA,  SOLOMON ISLANDS,  SOMALIA,  SOUTH AFRICA, Y SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME, Y SWAZILAND, Y SWEDEN, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, Y TOGO, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY, Y TURKMENISTAN, Y UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY,  UZBEKISTAN, Y VANUATU, Y VENEZUELA, Y VIET NAM, Y YEMEN,  YUGOSLAVIA, Y ZAIRE, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/282910,Y AFGHANISTAN,  ALBANIA, Y ALGERIA, Y ANGOLA, Y ANTIGUA AND BARBUDA,  ARGENTINA,  ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM, Y BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA, Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO, Y BURUNDI,  CAMBODIA, Y CAMEROON, Y CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC, Y CHAD, Y CHILE, Y CHINA, Y COLOMBIA, Y COMOROS,  CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, A CROATIA, Y CUBA, Y CYPRUS, Y CZECHOSLOVAKIA, Y DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DENMARK, Y DJIBOUTI, Y DOMINICA,  DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT,  EL SALVADOR,  EQUATORIAL GUINEA, Y ESTONIA, Y ETHIOPIA, Y FIJI, Y FINLAND, Y FRANCE, Y GABON, Y GAMBIA,  GEORGIA, Y GERMANY, Y GHANA, Y GREECE,  GRENADA, Y GUATEMALA, Y GUINEA, Y GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND, N ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN, Y KAZAKHSTAN, Y KENYA, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON, Y LESOTHO, Y LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG, Y MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, A MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, N MICRONESIA (FEDERATED STATES OF), Y MONGOLIA, Y MOROCCO, Y MOZAMBIQUE, Y MYANMAR, Y NAMIBIA, Y NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, Y NIGER,  NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, Y PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, A RUSSIAN FEDERATION, Y RWANDA,  SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, A SAMOA,  SAN MARINO, Y SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL,  SEYCHELLES, Y SIERRA LEONE, Y SINGAPORE, Y SLOVENIA,  SOLOMON ISLANDS,  SOMALIA,  SOUTH AFRICA, Y SPAIN, Y SRI LANKA, Y SUDAN, Y SURINAME, Y SWAZILAND, Y SWEDEN, Y SYRIAN ARAB REPUBLIC, Y TAJIKISTAN, Y THAILAND, Y TOGO, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY, Y TURKMENISTAN, Y UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, A URUGUAY,  UZBEKISTAN, Y VANUATU, Y VENEZUELA, Y VIET NAM, Y YEMEN,  YUGOSLAVIA, Y ZAIRE, Y ZAMBIA, Y ZIMBABWE
