https://digitallibrary.un.org/record/563982, AFGHANISTAN,  ALBANIA, Y ALGERIA, Y ANDORRA,  ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN,  BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM,  BELIZE, Y BENIN,  BHUTAN,  BOLIVIA,  BOSNIA AND HERZEGOVINA,  BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO,  BURUNDI, Y CAMBODIA,  CAMEROON, Y CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA, Y COMOROS,  CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, Y CROATIA, Y CUBA, Y CYPRUS, Y CZECH REPUBLIC,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, Y DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, Y ESTONIA,  ETHIOPIA,  FIJI, Y FINLAND, Y FRANCE,  GABON, Y GAMBIA, Y GEORGIA, Y GERMANY, Y GHANA, Y GREECE,  GRENADA, Y GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA,  HAITI,  HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND,  ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN, Y KAZAKHSTAN,  KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA,  LEBANON, Y LESOTHO,  LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA,  MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO,  MICRONESIA (FEDERATED STATES OF), Y MONACO,  MONGOLIA, Y MOROCCO,  MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, Y NETHERLANDS, Y NEW ZEALAND,  NICARAGUA, Y NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA,  PAPUA NEW GUINEA,  PARAGUAY, Y PERU, Y PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA,  REPUBLIC OF MOLDOVA, Y ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, Y SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA,  SENEGAL, Y SERBIA AND MONTENEGRO,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, Y SLOVAKIA, Y SLOVENIA,  SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME,  SWAZILAND, Y SWEDEN, Y SWITZERLAND, Y SYRIAN ARAB REPUBLIC,  TAJIKISTAN, Y THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO,  TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN,  TUVALU, Y UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN,  VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF),  VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/563980, AFGHANISTAN,  ALBANIA, Y ALGERIA, Y ANDORRA,  ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN,  BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM,  BELIZE, Y BENIN,  BHUTAN,  BOLIVIA,  BOSNIA AND HERZEGOVINA,  BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO,  BURUNDI,  CAMBODIA,  CAMEROON, Y CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA, Y COMOROS,  CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, Y CROATIA, Y CUBA, Y CYPRUS, Y CZECH REPUBLIC,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, Y DENMARK, Y DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, Y ESTONIA,  ETHIOPIA,  FIJI, Y FINLAND, Y FRANCE,  GABON, Y GAMBIA, Y GEORGIA, Y GERMANY, Y GHANA, Y GREECE,  GRENADA, Y GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA,  HAITI,  HONDURAS, Y HUNGARY, Y ICELAND, Y INDIA, Y INDONESIA,  IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND,  ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, Y JORDAN, Y KAZAKHSTAN,  KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA,  LEBANON, Y LESOTHO,  LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA,  MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO,  MICRONESIA (FEDERATED STATES OF), Y MONACO,  MONGOLIA, Y MOROCCO,  MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, Y NETHERLANDS, Y NEW ZEALAND,  NICARAGUA, Y NIGER, Y NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA,  PAPUA NEW GUINEA,  PARAGUAY, Y PERU,  PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA,  REPUBLIC OF MOLDOVA, Y ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, Y SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA,  SENEGAL, Y SERBIA AND MONTENEGRO,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, Y SLOVAKIA, Y SLOVENIA,  SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME,  SWAZILAND, Y SWEDEN, Y SWITZERLAND, Y SYRIAN ARAB REPUBLIC,  TAJIKISTAN, Y THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO,  TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN,  TUVALU, Y UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN,  VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF),  VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
https://digitallibrary.un.org/record/563979, AFGHANISTAN,  ALBANIA, Y ALGERIA, Y ANDORRA,  ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, N AUSTRALIA, A AUSTRIA, Y AZERBAIJAN,  BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, Y BELARUS, A BELGIUM,  BELIZE, Y BENIN,  BHUTAN,  BOLIVIA,  BOSNIA AND HERZEGOVINA,  BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA, Y BURKINA FASO,  BURUNDI,  CAMBODIA,  CAMEROON, N CANADA,  CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, Y CHINA, Y COLOMBIA, Y COMOROS,  CONGO, Y COSTA RICA,  CÔTE D'IVOIRE, A CROATIA, Y CUBA, Y CYPRUS, A CZECH REPUBLIC,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,  DEMOCRATIC REPUBLIC OF THE CONGO, N DENMARK, Y DJIBOUTI,  DOMINICA, Y DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, Y ERITREA, A ESTONIA,  ETHIOPIA,  FIJI, N FINLAND, A FRANCE,  GABON, Y GAMBIA, A GEORGIA, A GERMANY, Y GHANA, Y GREECE,  GRENADA, Y GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA,  HAITI,  HONDURAS, A HUNGARY, A ICELAND, Y INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, A IRELAND,  ISRAEL, A ITALY, Y JAMAICA, N JAPAN, Y JORDAN, Y KAZAKHSTAN,  KENYA,  KIRIBATI, Y KUWAIT, Y KYRGYZSTAN, Y LAO PEOPLE'S DEMOCRATIC REPUBLIC, A LATVIA,  LEBANON, Y LESOTHO,  LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, A LIECHTENSTEIN, A LITHUANIA, A LUXEMBOURG,  MADAGASCAR, Y MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA,  MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO,  MICRONESIA (FEDERATED STATES OF), A MONACO,  MONGOLIA, Y MOROCCO,  MOZAMBIQUE, Y MYANMAR, Y NAMIBIA,  NAURU, Y NEPAL, N NETHERLANDS, N NEW ZEALAND,  NICARAGUA, Y NIGER, Y NIGERIA, A NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA,  PAPUA NEW GUINEA,  PARAGUAY, Y PERU, Y PHILIPPINES, A POLAND, Y PORTUGAL, Y QATAR, A REPUBLIC OF KOREA,  REPUBLIC OF MOLDOVA, A ROMANIA, A RUSSIAN FEDERATION, Y RWANDA,  SAINT KITTS AND NEVIS,  SAINT LUCIA,  SAINT VINCENT AND THE GRENADINES, Y SAMOA, Y SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA,  SENEGAL, Y SERBIA AND MONTENEGRO,  SEYCHELLES,  SIERRA LEONE, Y SINGAPORE, Y SLOVAKIA, A SLOVENIA,  SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, Y SRI LANKA, Y SUDAN,  SURINAME,  SWAZILAND, N SWEDEN, A SWITZERLAND, Y SYRIAN ARAB REPUBLIC,  TAJIKISTAN, Y THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, Y TIMOR-LESTE, Y TOGO,  TONGA, Y TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN,  TUVALU, Y UGANDA, A UKRAINE, Y UNITED ARAB EMIRATES, N UNITED KINGDOM, Y UNITED REPUBLIC OF TANZANIA, N UNITED STATES, Y URUGUAY, Y UZBEKISTAN,  VANUATU, Y VENEZUELA (BOLIVARIAN REPUBLIC OF),  VIET NAM, Y YEMEN, Y ZAMBIA, Y ZIMBABWE
