https://digitallibrary.un.org/record/283683,Y AFGHANISTAN, Y ALBANIA, Y ALGERIA, Y ANDORRA, A ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA,  ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, Y BAHRAIN, Y BANGLADESH, Y BARBADOS, A BELARUS, Y BELGIUM, Y BELIZE, Y BENIN, A BHUTAN, Y BOLIVIA, Y BOSNIA AND HERZEGOVINA, A BOTSWANA, Y BRAZIL, Y BRUNEI DARUSSALAM, Y BULGARIA,  BURKINA FASO, A BURUNDI, Y CAMBODIA, A CAMEROON, Y CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, A CHINA, Y COLOMBIA, A COMOROS, A CONGO, Y COSTA RICA, A CÔTE D'IVOIRE, Y CROATIA,  CUBA, Y CYPRUS, Y CZECH REPUBLIC,  DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DENMARK, Y DJIBOUTI,  DOMINICA,  DOMINICAN REPUBLIC, Y ECUADOR, Y EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA,  ERITREA, Y ESTONIA, A ETHIOPIA, Y FIJI, Y FINLAND, Y FRANCE, A GABON, A GAMBIA,  GEORGIA, Y GERMANY, A GHANA, A GREECE, Y GRENADA, A GUATEMALA, A GUINEA,  GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, N INDIA, Y INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF),  IRAQ, Y IRELAND, Y ISRAEL, Y ITALY, A JAMAICA, Y JAPAN, Y JORDAN, Y KAZAKHSTAN, A KENYA, Y KUWAIT, Y KYRGYZSTAN,  LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON, Y LESOTHO,  LIBERIA, Y LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, A MALAWI, Y MALAYSIA, Y MALDIVES, Y MALI, Y MALTA, Y MARSHALL ISLANDS, Y MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA, Y MOROCCO, Y MOZAMBIQUE, A MYANMAR, A NAMIBIA, A NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, Y NIGER, A NIGERIA, Y NORWAY, Y OMAN, Y PAKISTAN,  PALAU, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, A PERU, A PHILIPPINES, Y POLAND, Y PORTUGAL, Y QATAR, Y REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA,  ROMANIA, N RUSSIAN FEDERATION, A RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, Y SAMOA,  SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL,  SEYCHELLES, Y SIERRA LEONE, A SINGAPORE, Y SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, A SRI LANKA, Y SUDAN, Y SURINAME, Y SWAZILAND, Y SWEDEN, Y SYRIAN ARAB REPUBLIC, A TAJIKISTAN,  THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, A TOGO, A TRINIDAD AND TOBAGO, Y TUNISIA, Y TURKEY,  TURKMENISTAN, A UGANDA, A UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, A UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, Y URUGUAY, Y UZBEKISTAN,  VANUATU, A VENEZUELA,  VIET NAM,  YEMEN,  YUGOSLAVIA,  ZAIRE, A ZAMBIA, A ZIMBABWE
https://digitallibrary.un.org/record/283682,A AFGHANISTAN, Y ALBANIA, A ALGERIA, Y ANDORRA, Y ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, Y ARMENIA, Y AUSTRALIA, Y AUSTRIA, Y AZERBAIJAN, Y BAHAMAS, A BAHRAIN, A BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM, Y BELIZE, Y BENIN, Y BHUTAN, Y BOLIVIA, Y BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, A BRUNEI DARUSSALAM, Y BULGARIA, A BURKINA FASO, A BURUNDI, Y CAMBODIA, A CAMEROON, Y CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, A CHINA, Y COLOMBIA, A COMOROS, A CONGO, Y COSTA RICA, A CÔTE D'IVOIRE, Y CROATIA, A CUBA, Y CYPRUS, Y CZECH REPUBLIC, A DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DENMARK,  DJIBOUTI, Y DOMINICA,  DOMINICAN REPUBLIC, Y ECUADOR,  EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, A ERITREA, Y ESTONIA, A ETHIOPIA, Y FIJI, Y FINLAND, Y FRANCE, A GABON,  GAMBIA, Y GEORGIA, Y GERMANY, Y GHANA, Y GREECE, Y GRENADA, A GUATEMALA, Y GUINEA,  GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, A INDIA, A INDONESIA, Y IRAN (ISLAMIC REPUBLIC OF), N IRAQ, Y IRELAND, Y ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, A JORDAN, Y KAZAKHSTAN, A KENYA, Y KUWAIT, A KYRGYZSTAN, A LAO PEOPLE'S DEMOCRATIC REPUBLIC, Y LATVIA, Y LEBANON, A LESOTHO,  LIBERIA, N LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN, Y LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, Y MALAWI, A MALAYSIA, Y MALDIVES, A MALI, Y MALTA, Y MARSHALL ISLANDS, A MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA, A MOROCCO, A MOZAMBIQUE, A MYANMAR, A NAMIBIA, A NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, Y NIGER, A NIGERIA, Y NORWAY,  OMAN, A PAKISTAN,  PALAU, Y PANAMA, Y PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, A PHILIPPINES, Y POLAND, Y PORTUGAL,  QATAR, Y REPUBLIC OF KOREA, Y REPUBLIC OF MOLDOVA, Y ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, Y SAMOA,  SAN MARINO,  SAO TOME AND PRINCIPE, Y SAUDI ARABIA, Y SENEGAL,  SEYCHELLES, A SIERRA LEONE, Y SINGAPORE, Y SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, A SRI LANKA, N SUDAN, Y SURINAME, Y SWAZILAND, Y SWEDEN, Y SYRIAN ARAB REPUBLIC, A TAJIKISTAN, A THAILAND, Y THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, A TOGO, Y TRINIDAD AND TOBAGO, A TUNISIA, Y TURKEY, A TURKMENISTAN, A UGANDA, Y UKRAINE, Y UNITED ARAB EMIRATES, Y UNITED KINGDOM, A UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, Y URUGUAY, Y UZBEKISTAN,  VANUATU, Y VENEZUELA, A VIET NAM,  YEMEN,  YUGOSLAVIA,  ZAIRE, Y ZAMBIA, A ZIMBABWE
https://digitallibrary.un.org/record/283681,N AFGHANISTAN, A ALBANIA, Y ALGERIA, Y ANDORRA, A ANGOLA, Y ANTIGUA AND BARBUDA, Y ARGENTINA, N ARMENIA, Y AUSTRALIA, Y AUSTRIA, N AZERBAIJAN, Y BAHAMAS, A BAHRAIN, N BANGLADESH, Y BARBADOS, Y BELARUS, Y BELGIUM, Y BELIZE, A BENIN, A BHUTAN, Y BOLIVIA,  BOSNIA AND HERZEGOVINA, Y BOTSWANA, Y BRAZIL, N BRUNEI DARUSSALAM, A BULGARIA, A BURKINA FASO, A BURUNDI,  CAMBODIA, A CAMEROON, Y CANADA, Y CAPE VERDE,  CENTRAL AFRICAN REPUBLIC,  CHAD, Y CHILE, N CHINA, A COLOMBIA, A COMOROS, A CONGO, Y COSTA RICA, A CÔTE D'IVOIRE,  CROATIA, N CUBA, A CYPRUS, Y CZECH REPUBLIC, N DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA, Y DENMARK,  DJIBOUTI, Y DOMINICA,  DOMINICAN REPUBLIC, Y ECUADOR, A EGYPT, Y EL SALVADOR,  EQUATORIAL GUINEA, A ERITREA, A ESTONIA, A ETHIOPIA, Y FIJI, Y FINLAND, Y FRANCE, A GABON,  GAMBIA,  GEORGIA, Y GERMANY, A GHANA, Y GREECE, Y GRENADA, A GUATEMALA, A GUINEA,  GUINEA-BISSAU, Y GUYANA, Y HAITI, Y HONDURAS, Y HUNGARY, Y ICELAND, N INDIA, N INDONESIA, N IRAN (ISLAMIC REPUBLIC OF), Y IRAQ, Y IRELAND, Y ISRAEL, Y ITALY, Y JAMAICA, Y JAPAN, A JORDAN, A KAZAKHSTAN, A KENYA,  KUWAIT, A KYRGYZSTAN, A LAO PEOPLE'S DEMOCRATIC REPUBLIC,  LATVIA, A LEBANON, A LESOTHO,  LIBERIA, N LIBYAN ARAB JAMAHIRIYA, Y LIECHTENSTEIN,  LITHUANIA, Y LUXEMBOURG,  MADAGASCAR, Y MALAWI, N MALAYSIA, N MALDIVES, A MALI, Y MALTA, Y MARSHALL ISLANDS, A MAURITANIA, Y MAURITIUS, Y MEXICO, Y MICRONESIA (FEDERATED STATES OF), Y MONACO, Y MONGOLIA,  MOROCCO, A MOZAMBIQUE, N MYANMAR, A NAMIBIA, A NEPAL, Y NETHERLANDS, Y NEW ZEALAND, Y NICARAGUA, A NIGER, A NIGERIA, Y NORWAY, N OMAN, N PAKISTAN,  PALAU, A PANAMA, A PAPUA NEW GUINEA, Y PARAGUAY, Y PERU, A PHILIPPINES, A POLAND, Y PORTUGAL, N QATAR, A REPUBLIC OF KOREA, A REPUBLIC OF MOLDOVA, A ROMANIA, Y RUSSIAN FEDERATION, Y RWANDA, Y SAINT KITTS AND NEVIS, Y SAINT LUCIA, Y SAINT VINCENT AND THE GRENADINES, Y SAMOA,  SAN MARINO,  SAO TOME AND PRINCIPE, A SAUDI ARABIA,  SENEGAL,  SEYCHELLES, A SIERRA LEONE, A SINGAPORE,  SLOVAKIA, Y SLOVENIA, Y SOLOMON ISLANDS,  SOMALIA, Y SOUTH AFRICA, Y SPAIN, N SRI LANKA, N SUDAN, Y SURINAME, A SWAZILAND, Y SWEDEN, N SYRIAN ARAB REPUBLIC, N TAJIKISTAN, A THAILAND, A THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA, A TOGO, Y TRINIDAD AND TOBAGO, A TUNISIA,  TURKEY, N TURKMENISTAN, A UGANDA, A UKRAINE,  UNITED ARAB EMIRATES, Y UNITED KINGDOM, N UNITED REPUBLIC OF TANZANIA, Y UNITED STATES, A URUGUAY,  UZBEKISTAN,  VANUATU, Y VENEZUELA, N VIET NAM,  YEMEN,  YUGOSLAVIA,  ZAIRE, Y ZAMBIA, A ZIMBABWE
